Date,Open,High,Low,Close,Adj Close,Volume
08-11-2013,18.377857,18.611786,18.306786,18.591429,16.298948,279316800
11-11-2013,18.571072,18.631071,18.371786,18.5375,16.251671,227452400
12-11-2013,18.488214,18.71143,18.464287,18.571787,16.281734,204276800
13-11-2013,18.5,18.651787,18.462856,18.593929,16.301142,197220800
14-11-2013,18.671785,18.902857,18.638214,18.862858,16.536907,282419200
15-11-2013,18.806429,18.89607,18.731787,18.749643,16.437651,317920400
18-11-2013,18.749643,18.828215,18.507143,18.522499,16.23852,244944000
19-11-2013,18.536785,18.692142,18.498928,18.555357,16.267324,208938800
20-11-2013,18.543928,18.58643,18.368929,18.392857,16.124865,193916800
21-11-2013,18.485714,18.614643,18.345358,18.612143,16.317112,262026800
22-11-2013,18.554285,18.648571,18.518929,18.564285,16.275152,223725600
25-11-2013,18.607857,18.781071,18.607143,18.705,16.398514,229311600
26-11-2013,18.718571,19.147858,18.714287,19.049999,16.700975,401382800
27-11-2013,19.153929,19.5,19.049999,19.498571,17.094229,363448400
29-11-2013,19.624287,19.940357,19.564644,19.859644,17.410786,318127600
02-12-2013,19.928572,20.154642,19.672144,19.686787,17.259239,472544800
03-12-2013,19.939285,20.227858,19.917143,20.225714,17.731712,450968000
04-12-2013,20.196428,20.328215,20.029285,20.178572,17.690378,377809600
05-12-2013,20.451786,20.540714,20.22893,20.282143,17.781183,447580000
06-12-2013,20.206785,20.241072,19.984644,20.000713,17.534454,344352400
09-12-2013,20.032143,20.342142,20.032143,20.229643,17.735155,320493600
10-12-2013,20.127857,20.281429,20.042856,20.198214,17.707602,278269600
11-12-2013,20.25,20.391787,19.98893,20.048571,17.576412,359718800
12-12-2013,20.076429,20.190714,20.001072,20.019285,17.550734,262290000
13-12-2013,20.101786,20.102858,19.77393,19.801071,17.359432,332822000
16-12-2013,19.822144,20.094286,19.821787,19.910713,17.455555,282592800
17-12-2013,19.850357,19.98,19.763571,19.821072,17.376966,229902400
18-12-2013,19.632143,19.694643,19.242857,19.670357,17.244843,565863200
19-12-2013,19.625,19.642857,19.418928,19.445,17.04727,320308800
20-12-2013,19.479643,19.700357,19.457857,19.607857,17.190044,436413600
23-12-2013,20.285713,20.382856,20.098572,20.360357,17.849754,501306400
24-12-2013,20.353214,20.424286,20.215357,20.27393,17.773981,167554800
26-12-2013,20.289286,20.339287,20.120714,20.139286,17.655945,204008000
27-12-2013,20.136429,20.157499,19.982143,20.003214,17.53665,225884400
30-12-2013,19.909286,20.003214,19.725714,19.804285,17.362255,253629600
31-12-2013,19.791786,20.045713,19.785713,20.036428,17.565765,223084400
02-01-2014,19.845715,19.893929,19.715,19.754642,17.318731,234684800
03-01-2014,19.745001,19.775,19.301071,19.320715,16.938307,392467600
06-01-2014,19.194643,19.52857,19.057142,19.426071,17.03067,412610800
07-01-2014,19.440001,19.498571,19.21143,19.287144,16.908878,317209200
08-01-2014,19.243214,19.484285,19.23893,19.409286,17.015955,258529600
09-01-2014,19.52857,19.530714,19.119642,19.161428,16.798664,279148800
10-01-2014,19.279642,19.314285,18.968214,19.033571,16.686571,304976000
13-01-2014,18.925358,19.375,18.924286,19.133215,16.77393,378492800
14-01-2014,19.222143,19.526072,19.202143,19.513929,17.1077,332561600
15-01-2014,19.768572,20.007143,19.702143,19.905714,17.451174,391638800
16-01-2014,19.817858,19.887501,19.702856,19.794643,17.353798,229278000
17-01-2014,19.695715,19.716785,19.282143,19.309643,16.928598,426739600
21-01-2014,19.321072,19.645357,19.300714,19.609644,17.191599,328526800
22-01-2014,19.675358,19.903214,19.564644,19.696787,17.268009,379985200
23-01-2014,19.640715,19.875,19.4575,19.863571,17.414225,403239200
24-01-2014,19.785713,19.843571,19.455357,19.502501,17.097677,429354800
27-01-2014,19.645357,19.814285,19.491072,19.660713,17.236383,554878800
28-01-2014,18.17,18.392857,17.93107,18.089287,15.858725,1065523200
29-01-2014,17.998215,18.120358,17.807858,17.883928,15.678686,502810000
30-01-2014,17.947857,18.089287,17.739286,17.849285,15.64832,678501600
31-01-2014,17.684999,17.911785,17.626785,17.878571,15.673991,464797200
03-02-2014,17.950357,18.133215,17.832144,17.911785,15.70311,401464000
04-02-2014,18.066071,18.195,17.955713,18.17107,15.930421,376681200
05-02-2014,18.091429,18.402857,18.080357,18.306786,16.049402,328344800
06-02-2014,18.216429,18.339287,18.13607,18.303928,16.142954,257765200
07-02-2014,18.620714,18.676071,18.477858,18.559999,16.36879,370280400
10-02-2014,18.523571,18.999643,18.5,18.8925,16.662041,345559200
11-02-2014,18.950357,19.205357,18.910713,19.14143,16.881575,282256800
12-02-2014,19.176786,19.27,19.044287,19.139999,16.880318,308100800
13-02-2014,19.094999,19.458929,19.078571,19.44393,17.148373,307398000
14-02-2014,19.373928,19.499287,19.32893,19.428213,17.134502,272924400
18-02-2014,19.5,19.685356,19.486071,19.499643,17.197502,260251600
19-02-2014,19.455357,19.531786,19.083929,19.191786,16.925993,313768000
20-02-2014,19.035357,19.178572,18.892857,18.969643,16.730072,305858000
21-02-2014,19.028214,19.091785,18.735714,18.758928,16.544231,278784800
24-02-2014,18.683929,18.925714,18.657858,18.84107,16.616676,288909600
25-02-2014,18.906429,18.913214,18.607143,18.645,16.443766,231952000
26-02-2014,18.700357,18.75,18.414286,18.476786,16.295404,276217200
27-02-2014,18.469286,18.885,18.430357,18.845358,16.620461,301882000
28-02-2014,18.895714,19.026787,18.647142,18.794287,16.57542,371968800
03-03-2014,18.693571,18.951786,18.671785,18.848572,16.623299,238781200
04-03-2014,18.964287,19.022858,18.848928,18.972857,16.732903,259140000
05-03-2014,18.96143,19.098213,18.897499,19.012857,16.768183,200062800
06-03-2014,19.028214,19.087143,18.860714,18.955357,16.717474,185488800
07-03-2014,18.967501,18.999287,18.7875,18.944286,16.707714,220729600
10-03-2014,18.870001,19.047501,18.869286,18.96143,16.722828,178584000
11-03-2014,19.123215,19.240713,19.02107,19.14607,16.885666,279224400
12-03-2014,19.089643,19.191071,19,19.164642,16.90205,199326400
13-03-2014,19.194286,19.273571,18.898571,18.951786,16.714323,257742800
14-03-2014,18.885357,18.960358,18.678572,18.73893,16.526598,237199200
17-03-2014,18.84643,18.9275,18.780357,18.812143,16.591169,199544800
18-03-2014,18.782143,18.998928,18.757143,18.978571,16.737955,209647200
19-03-2014,19.009287,19.151428,18.892857,18.973572,16.733545,224756000
20-03-2014,18.924643,19.02393,18.833929,18.882143,16.652906,208398400
21-03-2014,18.997499,19.0625,18.797501,19.031071,16.784245,374046400
24-03-2014,19.229286,19.303572,19.109285,19.256786,16.983313,355700800
25-03-2014,19.339287,19.491072,19.27107,19.463928,17.166,282293200
26-03-2014,19.518572,19.607143,19.245001,19.277857,17.0019,299768000
27-03-2014,19.286428,19.339287,19.111429,19.195,16.928825,222031600
28-03-2014,19.225714,19.247856,19.080357,19.173571,16.909927,200564000
31-03-2014,19.258215,19.314644,19.140356,19.169287,16.906149,168669200
01-04-2014,19.205713,19.352501,19.170357,19.344643,17.060795,200760000
02-04-2014,19.370714,19.41,19.295,19.376785,17.089148,180420800
03-04-2014,19.335358,19.375,19.201429,19.2425,16.970709,162344000
04-04-2014,19.278929,19.285713,18.949286,18.99357,16.751177,275251200
07-04-2014,18.857857,18.960714,18.638929,18.695356,16.488169,289850400
08-04-2014,18.756786,18.790001,18.525,18.694286,16.487223,243888400
09-04-2014,18.665714,18.946072,18.643572,18.940001,16.703934,206169600
10-04-2014,18.952856,19.008572,18.684643,18.695715,16.488487,239652000
